TransactionType,Channel,TransactionAmount,CustomerAge,TransactionDuration,AccountBalance,Cluster
Credit,Online,22.01,41.0,175.0,1335.09,4
Credit,Online,425.34,69.0,121.0,3907.5399999999995,4
Debit,Online,424.56,51.0,264.0,5183.85,0
Debit,Branch,85.43,67.0,145.0,14904.9,1
Debit,Branch,169.5,28.0,142.0,918.8799999999999,1
Debit,ATM,104.63,62.0,90.0,4477.78,3
Debit,Branch,316.95,25.0,83.0,1324.03,1
Credit,Branch,60.54,57.0,52.00000000000001,3534.93,2
Credit,Branch,292.56,68.0,61.00000000000001,4638.37,2
Debit,Branch,386.52,48.0,28.0,5630.61,1
Debit,Branch,112.07,23.0,51.00000000000001,930.3,1
Debit,ATM,568.52,46.0,151.99999999999997,5499.91,3
Debit,Branch,263.99,79.0,227.0,4175.02,1
Debit,Online,349.64,48.0,226.0,6651.62,0
Credit,Branch,601.4,56.0,104.0,8458.29,2
Debit,Online,5.77,50.0,123.99999999999999,13988.12,0
Credit,Branch,201.33,42.0,186.0,2585.07,2
Debit,Branch,298.42,56.0,225.0,3014.75,1
Debit,Branch,521.06,25.0,128.0,1951.42,1
Credit,Online,117.27999999999999,60.0,16.0,3665.77,4
Credit,Branch,189.12,32.0,103.0,977.01,2
Debit,ATM,133.55,44.0,220.0,3846.2800000000007,3
Debit,Online,143.21,35.0,135.0,6374.82,0
Debit,ATM,24.77,62.0,55.0,5866.01,3
Credit,Online,233.91999999999996,26.0,280.0,6537.62,4
Debit,ATM,232.12,37.0,51.00000000000001,6689.87,3
Debit,Online,162.63,22.0,113.0,634.17,0
Debit,Branch,91.53,44.0,69.00000000000001,14676.05,1
Debit,Branch,120.29000000000002,19.0,77.0,1362.39,1
Debit,Online,174.25,50.0,67.0,10528.34,0
Debit,ATM,183.71,38.0,102.0,552.52,3
Credit,Online,345.39,58.0,80.0,6451.96,4
Debit,Online,259.91,49.0,170.0,7176.86,0
Debit,Online,154.71,34.0,157.0,1523.72,0
Debit,Branch,24.56,64.0,69.00000000000001,9869.93,1
Debit,ATM,568.07,48.0,115.0,10556.81,3
Credit,Online,9.61,58.0,179.0,12883.91,4
Debit,Online,392.96,24.0,100.00000000000001,791.65,0
Credit,Online,716.93,60.0,34.0,4064.02,4
Debit,ATM,223.85,53.0,55.0,2929.91,3
Debit,Branch,230.65999999999997,21.0,135.0,618.05,1
Debit,Online,442.12,19.0,260.0,1375.8,0
Debit,ATM,644.17,29.0,72.0,1143.52,3
Credit,Branch,508.68000000000006,51.0,127.0,7708.41,2
Credit,Branch,858.63,27.0,185.0,1872.96,2
Debit,ATM,25.36,57.0,78.0,201.04,3
Debit,Branch,147.62,71.0,133.0,2115.8,1
Debit,Branch,115.02,37.0,175.0,7643.66,1
Debit,Branch,383.37,30.0,24.0,8901.93,1
Credit,Online,98.54,20.0,167.0,9383.43,4
Credit,Branch,83.24,55.0,164.0,1181.31,2
Debit,Branch,196.16,27.0,146.0,9418.86,1
Debit,ATM,129.94,32.0,235.0,7954.919999999999,3
Debit,Online,306.9,46.0,51.00000000000001,9418.08,0
Debit,Online,114.97999999999999,59.0,80.0,6144.68,0
Debit,Branch,756.59,27.0,17.0,420.65,1
Debit,Online,503.76,22.0,35.0,447.82,0
Debit,ATM,143.03,63.0,147.0,7981.450000000001,3
Debit,ATM,245.54,25.0,180.0,985.0600000000001,3
Credit,Online,254.37000000000003,51.0,174.0,8849.26,4
Credit,ATM,213.76,78.0,282.0,3528.72,4
Debit,Online,327.86,40.0,104.0,480.16,0
Debit,Online,2.5,47.0,107.0,12145.27,0
Credit,Online,300.08,68.0,47.0,13546.75,4
Credit,ATM,56.980000000000004,43.0,122.0,5688.37,4
Debit,Online,407.65,26.0,61.99999999999999,8346.64,0
Debit,Branch,115.83,39.0,167.0,6481.04,1
Debit,ATM,53.57,69.0,121.0,1651.33,3
Credit,Online,63.34000000000001,46.0,165.0,11174.94,4
Debit,Online,317.87,27.0,91.0,145.5,0
Debit,Online,331.65,41.0,61.00000000000001,4172.57,0
Debit,ATM,5.04,56.0,41.0,5558.36,3
Credit,Online,214.54,70.0,247.0,11151.53,4
Debit,Branch,598.81,57.0,158.0,1415.52,1
Debit,Online,841.28,26.0,80.0,1103.64,0
Debit,Online,38.15,26.0,107.99999999999999,303.68,0
Debit,Branch,124.72,33.0,105.0,6309.8,1
Credit,Branch,302.45,78.0,40.0,5133.61,2
Debit,Online,208.04,47.0,273.0,9344.98,0
Credit,Branch,5.77,23.0,254.0,1117.97,2
Debit,ATM,381.33,56.0,75.0,11835.35,3
Debit,ATM,16.16,50.0,123.99999999999999,14401.17,3
Debit,Online,486.08,18.0,68.00000000000001,1748.69,0
Debit,Branch,336.39,21.0,18.0,1000.46,1
Debit,Online,234.57,23.0,120.0,263.98,0
Debit,Online,6.0,30.0,246.0,5442.76,0
Debit,ATM,227.13999999999996,18.0,294.0,341.94,3
Credit,Online,233.74,66.0,17.0,1066.59,4
Credit,Branch,113.02,69.0,166.0,6077.96,2
Debit,ATM,45.85,20.0,91.99999999999999,1659.15,3
Debit,Online,514.95,41.0,142.0,421.93,0
Debit,ATM,415.5,66.0,141.0,10113.66,3
Debit,Online,265.76,54.0,91.99999999999999,4446.17,0
Debit,Online,69.4,80.0,113.0,6452.77,0
Credit,Branch,332.93,35.0,293.0,2788.2,2
Debit,Online,267.9,20.0,160.0,596.1599999999999,0
Debit,Branch,496.03,61.0,265.0,12904.66,1
Debit,ATM,376.26,37.0,245.0,9062.4,3
Credit,Online,83.02,36.0,171.0,9009.56,4
Credit,Online,93.26,20.0,72.0,1152.2,4
Credit,Branch,803.37,68.0,129.0,12168.37,2
Debit,Branch,35.76,23.0,122.0,611.8599999999999,1
Debit,Online,28.529999999999998,62.0,99.0,8670.53,0
Credit,Online,139.53,53.0,177.0,10098.86,4
Debit,Branch,307.57,33.0,285.0,5307.74,1
Credit,Branch,60.650000000000006,56.0,53.00000000000001,1047.28,2
Debit,Branch,74.86,70.0,125.0,6921.48,1
Debit,Branch,117.97,51.0,137.0,1475.46,1
Debit,ATM,231.91,34.0,165.0,112.76,3
Debit,Branch,126.21,75.0,268.0,5669.66,1
Credit,Online,506.28,53.0,162.0,1309.95,4
Debit,Branch,304.35,31.0,36.0,4057.1,1
Debit,ATM,281.85,22.0,109.0,1585.98,3
Debit,Branch,777.88,31.0,17.0,6825.55,1
Debit,Branch,119.17999999999999,56.0,96.0,5516.5,1
Debit,Online,177.19,76.0,43.0,5343.3,0
Debit,Branch,260.88,22.0,36.0,903.05,1
Debit,Online,169.47,24.0,18.999999999999996,1806.16,0
Debit,Branch,73.23,26.0,14.0,787.7399999999999,1
Debit,ATM,792.57,19.0,164.0,770.37,3
Debit,Online,237.06000000000003,71.0,45.99999999999999,1182.77,0
Credit,Online,34.17,54.0,53.99999999999999,726.55,4
Debit,Online,740.25,41.0,123.0,14464.3,0
Debit,ATM,453.53999999999996,58.0,82.0,12046.3,3
Debit,Branch,300.47,73.0,100.00000000000001,7885.64,1
Credit,Branch,110.93,19.0,201.0,1952.3499999999997,2
Debit,ATM,201.69,59.0,299.0,7328.52,3
Debit,ATM,399.21,59.0,109.0,3210.39,3
Debit,ATM,630.36,62.0,52.00000000000001,1363.65,3
Credit,ATM,10.94,60.0,245.0,1241.99,4
Debit,ATM,215.9,38.0,235.0,7873.280000000001,3
Credit,Branch,226.37,49.0,141.0,9840.04,2
Credit,Branch,444.89,43.0,101.0,10328.23,2
Credit,Online,280.57,25.0,24.0,293.24,4
Debit,Branch,488.54,52.0,132.0,7486.63,1
Credit,Branch,3.3,50.0,131.0,11385.37,2
Debit,Branch,199.39,69.0,165.0,7264.79,1
Debit,Branch,20.36,62.0,75.0,2762.48,1
Debit,Online,113.64,62.0,32.0,6675.03,0
Debit,Branch,493.11,53.0,236.0,7432.99,1
Debit,ATM,307.41,19.0,14.0,1057.0,3
Debit,Online,11.18,43.0,161.0,5956.89,0
Debit,Branch,313.82,59.0,151.0,7261.59,1
Debit,Branch,51.0,64.0,107.0,4943.16,1
Debit,Branch,140.98,60.0,100.00000000000001,8127.4800000000005,1
Debit,ATM,288.04,68.0,63.0,1748.02,3
Debit,ATM,800.55,31.0,107.99999999999999,9660.22,3
Debit,ATM,485.54,46.0,143.0,6371.51,3
Debit,ATM,521.15,54.0,214.0,9442.47,3
Credit,ATM,321.79,63.0,61.00000000000001,5959.2,4
Debit,ATM,304.93,65.0,158.0,13531.22,3
Debit,ATM,432.08,40.0,145.0,11500.62,3
Debit,ATM,694.2,61.0,72.0,1389.37,3
Debit,ATM,116.86000000000001,55.0,171.0,6706.56,3
Credit,Online,386.81,57.0,149.0,7175.29,4
Debit,ATM,74.88,25.0,202.0,420.67,3
Debit,Branch,195.76,75.0,99.0,7323.53,1
Debit,ATM,134.7,50.0,106.0,8395.85,3
Credit,Online,890.24,33.0,161.0,5140.93,4
Debit,ATM,361.27,63.0,180.0,7945.57,3
Debit,Branch,131.56,44.0,42.00000000000001,5873.54,1
Credit,Online,485.51,76.0,37.0,3074.45,4
Debit,ATM,547.87,64.0,131.0,6155.76,3
Debit,Online,457.3,28.0,15.0,8318.29,0
Debit,ATM,506.24,58.0,64.0,230.09,3
Debit,Branch,486.5899999999999,57.0,119.0,2513.56,1
Debit,Branch,163.68,41.0,292.0,10090.05,1
Debit,ATM,581.65,22.0,176.0,480.19000000000005,3
Debit,ATM,52.01,48.0,85.0,1120.88,3
Debit,ATM,630.24,21.0,61.99999999999999,370.81,3
Debit,ATM,523.74,43.0,159.0,13498.55,3
Debit,Branch,705.6,40.0,123.99999999999999,14804.7,1
Credit,Branch,217.5,46.0,35.0,3057.4,2
Debit,ATM,91.48,51.0,141.0,14942.779999999999,3
Debit,ATM,5.25,39.0,49.0,14143.32,3
Credit,ATM,54.03,56.0,161.0,6736.3,4
Debit,Branch,736.73,48.0,10.0,3313.07,1
Debit,Branch,368.91,54.0,14.0,829.7099999999999,1
Credit,Online,33.06,53.0,170.0,1540.87,4
Credit,Online,66.5,32.0,144.0,6820.23,4
Debit,Online,177.08,35.0,85.0,13475.14,0
Debit,Branch,588.54,32.0,130.0,714.4499999999999,1
Debit,ATM,173.5,21.0,282.0,1306.91,3
Credit,Online,78.33,56.0,189.0,7255.33,4
Debit,Branch,40.66,59.0,156.0,1153.84,1
Credit,Branch,97.22,77.0,55.0,6647.73,2
Debit,Branch,34.07,22.0,81.0,8709.77,1
Debit,Online,492.06,23.0,74.0,857.9,0
Credit,Online,842.01,53.0,185.0,509.45000000000005,4
Debit,ATM,73.55,51.0,158.0,2812.06,3
Debit,Online,760.53,57.0,118.0,6179.91,0
Credit,Branch,273.08,26.0,134.0,6609.3,2
Debit,Branch,371.69,67.0,143.0,3484.32,1
Debit,ATM,218.96,18.0,13.0,754.21,3
Debit,Online,227.38999999999996,18.0,65.0,751.09,0
Credit,Branch,237.99,39.0,86.0,8510.09,2
Debit,Online,186.6,58.0,13.0,1508.72,0
Debit,Online,341.15,18.0,148.0,511.36999999999995,0
Debit,ATM,434.58,59.0,215.0,12648.32,3
Credit,Branch,312.88,54.0,44.0,233.21,2
Debit,ATM,75.15,23.0,154.0,1092.92,3
Debit,ATM,23.3,59.0,161.0,6711.15,3
Credit,Online,47.38,25.0,61.00000000000001,459.37,4
Debit,Branch,512.81,79.0,30.0,6994.34,1
Debit,Branch,488.15000000000003,43.0,168.00000000000003,7071.09,1
Debit,ATM,12.82,44.0,156.0,9045.19,3
Credit,Online,66.9,79.0,129.0,5238.71,4
Debit,Online,535.91,43.0,22.0,9642.12,0
Credit,Online,270.72,26.0,53.00000000000001,6263.96,4
Debit,Branch,97.98,72.0,18.0,7460.329999999999,1
Debit,Online,196.08,61.0,98.0,4233.82,0
Debit,ATM,251.18000000000004,42.0,246.0,8303.9,3
Debit,Online,44.52,28.0,205.0,314.28,0
Debit,Online,178.87,35.0,180.0,5241.23,0
Debit,Branch,386.68,46.0,128.0,6863.06,1
Debit,Online,167.14,76.0,20.0,3877.7299999999996,0
Debit,Branch,345.22,69.0,253.0,4046.5800000000004,1
Debit,ATM,74.85,72.0,117.0,2409.73,3
Debit,Branch,671.73,58.0,53.99999999999999,5211.88,1
Debit,ATM,255.04,45.0,151.99999999999997,6217.86,3
Debit,Online,45.77,25.0,109.0,5978.12,0
Credit,Online,329.69,26.0,66.0,1671.66,4
Credit,Branch,362.04,58.0,198.0,8421.88,2
Debit,Branch,11.92,53.0,52.00000000000001,14611.9,1
Debit,ATM,47.42,64.0,28.0,8253.52,3
Debit,Branch,35.99,63.0,129.0,4489.79,1
Credit,Branch,151.19,37.0,96.0,11903.82,2
Credit,Online,242.62,22.0,234.0,483.02000000000004,4
Debit,Branch,48.72,21.0,17.0,816.0799999999999,1
Debit,ATM,43.46,25.0,80.0,578.06,3
Debit,ATM,443.79,53.0,87.0,3133.85,3
Debit,Online,365.14,68.0,57.0,5894.09,0
Debit,ATM,757.41,22.0,37.0,9532.42,3
Debit,Branch,20.54,51.0,72.0,5327.03,1
Debit,ATM,475.36,34.0,105.0,2000.6,3
Debit,ATM,34.74,56.0,24.0,6827.57,3
Debit,Branch,689.54,27.0,93.0,1633.76,1
Debit,ATM,211.18,73.0,90.0,4069.1699999999996,3
Credit,Branch,211.36,51.0,286.0,7943.469999999999,2
Credit,Online,744.41,39.0,107.0,8842.47,4
Debit,Online,61.43,24.0,170.0,1882.77,0
Debit,Branch,167.44,37.0,82.0,12526.71,1
Debit,Online,361.46,21.0,83.0,4737.84,0
Debit,Branch,378.85,78.0,126.0,2300.53,1
Debit,Branch,241.11,30.0,55.0,12385.05,1
Credit,Branch,131.93,31.0,13.0,4547.06,2
Debit,Online,20.28,36.0,213.0,2047.83,0
Debit,Branch,415.88,70.0,170.0,10008.33,1
Debit,ATM,49.99,62.0,139.0,2299.64,3
Debit,Branch,100.66,50.0,144.0,14473.33,1
Debit,Online,485.54,19.0,148.0,1533.32,0
Debit,Branch,321.15,46.0,179.0,7005.05,1
Debit,Branch,711.3,21.0,51.00000000000001,955.4,1
Debit,ATM,12.23,42.0,139.0,7844.880000000001,3
Debit,ATM,350.94,20.0,64.0,221.56,3
Debit,Online,301.85,54.0,25.000000000000004,6586.19,0
Debit,Online,29.34,65.0,30.0,3944.82,0
Debit,Branch,231.71,27.0,148.0,1127.98,1
Debit,ATM,179.43,58.0,244.0,2626.63,3
Debit,Branch,36.71,48.0,55.0,6459.38,1
Credit,Branch,138.12,53.0,281.0,1649.69,2
Debit,ATM,233.24,33.0,72.0,6939.23,3
Debit,ATM,609.14,39.0,177.0,9033.87,3
Debit,Branch,436.64,31.0,111.0,14365.18,1
Debit,Branch,870.43,29.0,55.0,10115.18,1
Debit,ATM,354.4,74.0,128.0,7358.65,3
Debit,Online,22.63,53.0,112.0,4438.03,0
Debit,Branch,182.19,26.0,53.00000000000001,1176.1,1
Debit,Branch,126.81,26.0,290.0,5427.98,1
Debit,Online,288.17,37.0,50.00000000000001,3653.11,0
Debit,Branch,118.76999999999998,55.0,123.0,2104.82,1
Debit,ATM,651.82,21.0,166.0,1802.77,3
Debit,ATM,66.65,37.0,33.0,3559.96,3
Debit,Branch,98.53,69.0,166.0,3564.8,1
Debit,Online,138.95,71.0,30.0,6752.92,0
Debit,Branch,33.89,26.0,177.0,1444.75,1
Debit,Branch,23.71,58.0,164.0,10788.89,1
Debit,ATM,26.06,65.0,283.0,12893.63,3
Debit,Branch,17.07,27.0,44.0,2798.15,1
Debit,Online,703.89,46.0,61.99999999999999,3583.67,0
Debit,ATM,26.55,77.0,228.0,3085.38,3
Debit,Branch,147.4,42.0,259.0,6797.71,1
Debit,ATM,202.11,27.0,18.0,746.47,3
Debit,Branch,308.42,75.0,39.0,5427.81,1
Debit,ATM,11.18,53.0,144.0,7467.300000000001,3
Debit,Online,294.15,38.0,136.0,6362.16,0
Debit,Branch,29.58,54.0,121.0,8345.26,1
Debit,Online,139.45,27.0,30.999999999999996,1305.76,0
Debit,ATM,432.63,29.0,137.0,13648.36,3
Debit,Online,131.43,43.0,65.0,1337.5,0
Debit,ATM,516.72,42.0,128.0,2015.6900000000003,3
Debit,Online,121.82,69.0,123.0,8354.54,0
Credit,Branch,374.5,26.0,178.0,1671.51,2
Debit,ATM,166.13,68.0,227.0,11822.53,3
Debit,ATM,626.9,23.0,146.0,587.1099999999999,3
Debit,Branch,466.85,56.0,165.0,5422.53,1
Debit,Online,788.84,58.0,231.0,1913.73,0
Credit,Online,873.65,37.0,59.00000000000001,12139.83,4
Debit,ATM,525.28,69.0,134.0,4693.6,3
Debit,ATM,110.17,30.0,137.0,464.2,3
Debit,ATM,632.69,80.0,75.99999999999999,4363.74,3
Debit,ATM,124.34999999999998,72.0,90.0,3319.76,3
Debit,ATM,43.85,62.0,122.0,4356.98,3
Debit,Branch,283.81,28.0,29.000000000000004,1519.35,1
Debit,ATM,168.53,71.0,112.0,5962.58,3
Credit,Branch,218.59,40.0,123.0,6699.23,2
Debit,ATM,132.84,21.0,143.0,822.73,3
Credit,Branch,157.37,42.0,289.0,13964.31,2
Debit,Online,144.77,20.0,159.0,867.3199999999999,0
Debit,ATM,643.22,64.0,93.0,1035.86,3
Debit,Online,208.07,32.0,36.0,8478.9,0
Debit,Branch,94.3,57.0,57.0,11088.95,1
Debit,ATM,295.5,59.0,36.0,6280.66,3
Debit,ATM,30.23,44.0,99.0,481.13,3
Credit,ATM,112.05,26.0,159.0,1122.88,4
Debit,Branch,180.24,58.0,144.0,8431.23,1
Credit,Online,13.71,38.0,148.0,8342.79,4
Debit,Branch,96.54,58.0,95.0,7182.22,1
Debit,Online,79.35,67.0,70.0,1692.15,0
Debit,ATM,101.04,27.0,160.0,1695.57,3
Debit,Online,74.42,49.0,68.00000000000001,6264.21,0
Debit,Branch,39.66,52.0,169.0,8497.34,1
Debit,ATM,99.36,40.0,45.99999999999999,1272.12,3
Debit,Online,123.85,56.0,244.0,3959.62,0
Debit,ATM,426.93,19.0,247.99999999999997,476.18999999999994,3
Credit,Online,133.73,25.0,123.0,1872.2200000000003,4
Debit,Online,222.39,49.0,73.0,3117.39,0
Credit,Online,215.94,22.0,140.0,1841.69,4
Debit,Branch,6.3,80.0,283.0,7697.680000000001,1
Debit,ATM,826.23,29.0,209.0,7580.590000000001,3
Debit,Online,416.37,35.0,67.0,7936.91,0
Debit,Branch,131.46,67.0,258.0,6642.33,1
Credit,Branch,202.86,61.0,149.0,7642.250000000001,2
Debit,ATM,268.39,26.0,171.0,136.74,3
Debit,Online,194.85,23.0,130.0,319.84,0
Credit,Online,137.35,40.0,220.0,12662.66,4
Debit,Branch,712.75,44.0,25.000000000000004,8126.0599999999995,1
Debit,ATM,353.82,42.0,143.0,705.7499999999999,3
Debit,Branch,507.24999999999994,73.0,143.0,5331.57,1
Debit,Branch,212.74,27.0,128.0,7645.469999999999,1
Debit,ATM,364.42,51.0,146.0,8119.73,3
Debit,ATM,195.12,46.0,144.0,6101.15,3
Debit,Branch,230.61,80.0,204.0,2561.42,1
Credit,Branch,739.28,58.0,47.0,11905.64,2
Credit,ATM,390.35,64.0,61.00000000000001,7095.88,4
Debit,Online,242.03,58.0,123.99999999999999,4382.73,0
Credit,ATM,242.39000000000001,18.0,271.0,1328.73,4
Debit,ATM,135.03,23.0,180.0,1278.0,3
Debit,Branch,83.5,61.0,91.0,1749.79,1
Debit,Branch,193.54,80.0,267.0,2929.51,1
Debit,Branch,617.36,29.0,61.00000000000001,8926.38,1
Credit,Online,775.23,59.0,37.99999999999999,5977.59,4
Debit,ATM,266.57,72.0,100.00000000000001,7676.92,3
Debit,ATM,153.4,45.0,144.0,4657.7,3
Debit,Branch,5.12,34.0,90.0,3293.01,1
Debit,ATM,119.11000000000001,57.0,131.0,7998.25,3
Debit,Branch,119.71999999999998,30.0,123.0,3435.34,1
Debit,Online,107.4,58.0,32.0,344.07,0
Debit,ATM,115.92,53.0,57.0,3897.17,3
Debit,ATM,438.04,67.0,247.0,5358.95,3
Debit,Online,677.29,27.0,287.0,627.79,0
Debit,Branch,296.0,35.0,247.99999999999997,7418.82,1
Credit,Branch,299.09,36.0,84.00000000000001,5615.26,2
Credit,Branch,461.5199999999999,24.0,44.0,1995.1799999999998,2
Debit,ATM,100.52,50.0,110.0,453.39,3
Debit,ATM,85.35,66.0,166.0,2173.76,3
Debit,Branch,79.76,39.0,170.0,6452.14,1
Credit,Online,778.49,75.0,107.0,7713.67,4
Debit,Online,386.38,42.0,135.0,5528.36,0
Debit,Online,165.25,35.0,106.0,9939.94,0
Debit,ATM,14.29,34.0,150.0,7016.99,3
Credit,Branch,232.79,55.0,145.0,2661.3,2
Debit,Branch,92.29,54.0,115.0,2026.3199999999997,1
Debit,Branch,293.97,68.0,153.0,7371.85,1
Debit,Online,136.32,19.0,113.0,264.83,0
Debit,Online,251.05999999999997,36.0,34.0,10001.66,0
Credit,ATM,50.17,77.0,35.0,7752.140000000001,4
Debit,Branch,21.4,34.0,258.0,9594.11,1
Debit,Branch,73.28,21.0,21.000000000000004,1329.41,1
Debit,ATM,70.23,38.0,260.0,11624.93,3
Debit,ATM,689.29,22.0,100.00000000000001,168.84,3
Debit,Online,745.03,28.0,231.0,160.57,0
Debit,ATM,54.61,58.0,160.0,7135.64,3
Debit,Branch,54.05,27.0,146.0,469.13999999999993,1
Debit,Online,107.47,67.0,144.0,7517.499999999999,0
Debit,ATM,611.11,20.0,282.0,919.84,3
Debit,ATM,219.63,48.0,44.0,8013.63,3
Debit,Branch,188.7,54.0,123.0,5077.06,1
Debit,Online,93.52,51.0,97.0,2791.2,0
Credit,Branch,275.92,62.0,107.0,1777.38,2
Debit,Branch,376.79,68.0,265.0,7749.14,1
Debit,Online,8.98,66.0,56.0,4516.76,0
Debit,Online,697.32,68.0,91.0,2016.0200000000002,0
Debit,ATM,17.45,18.0,88.0,1959.52,3
Debit,Online,302.16,80.0,138.0,3876.61,0
Debit,Branch,442.74,23.0,136.0,1790.27,1
Debit,ATM,623.9,27.0,249.0,711.4699999999999,3
Debit,ATM,445.41,35.0,235.0,12154.66,3
Debit,ATM,63.41,26.0,36.0,1546.22,3
Debit,ATM,346.85,44.0,88.0,7208.15,3
Credit,Online,71.95,59.0,53.00000000000001,9267.32,4
Debit,Online,7.499999999999999,63.0,36.0,6485.78,0
Debit,ATM,206.46,65.0,279.0,3984.38,3
Debit,ATM,423.11,60.0,47.0,412.78,3
Credit,Online,35.84,54.0,172.0,4795.65,4
Credit,Branch,88.6,28.0,105.0,246.57,2
Credit,ATM,53.81,55.0,37.0,2564.62,4
Debit,Online,22.46,54.0,78.0,6631.5,0
Debit,Online,334.89,21.0,260.0,1661.68,0
Credit,Online,319.27,54.0,59.00000000000001,5504.01,4
Debit,ATM,144.3,18.0,88.0,312.19,3
Credit,Branch,348.7,69.0,149.0,2445.58,2
Debit,ATM,366.21,62.0,181.0,10862.99,3
Debit,Online,99.11,55.0,12.0,5414.87,0
Debit,ATM,539.35,55.0,127.0,3919.4399999999996,3
Debit,Branch,188.99,58.0,91.99999999999999,7315.34,1
Debit,ATM,710.14,26.0,227.0,465.62999999999994,3
Debit,Online,308.68,53.0,170.0,9992.36,0
Debit,ATM,166.68,57.0,139.0,5141.19,3
Debit,ATM,0.99,45.0,133.0,4317.85,3
Debit,ATM,505.19,30.0,128.0,5326.68,3
Debit,Branch,66.58,23.0,79.0,1636.32,1
Debit,Branch,223.43,77.0,178.0,7932.410000000001,1
Debit,Online,659.95,60.0,114.0,3927.6900000000005,0
Debit,ATM,634.86,27.0,45.0,588.4999999999999,3
Credit,Branch,286.5,30.0,60.00000000000001,8517.95,2
Credit,Branch,322.96,76.0,168.00000000000003,2401.59,2
Debit,Branch,654.48,19.0,114.0,6776.41,1
Debit,Branch,157.97,48.0,140.0,5529.92,1
Debit,Branch,120.89999999999999,40.0,52.00000000000001,9009.42,1
Debit,Branch,254.77,57.0,57.0,5994.87,1
Debit,Online,795.96,65.0,119.0,5468.58,0
Debit,ATM,149.25,39.0,142.0,5677.52,3
Credit,Online,3.42,43.0,158.0,14180.21,4
Credit,Online,68.19,40.0,189.0,9895.1,4
Debit,Branch,493.41999999999996,39.0,111.0,2232.84,1
Debit,ATM,37.57,57.0,42.00000000000001,7739.54,3
Credit,Branch,127.0,19.0,68.00000000000001,431.16,2
Debit,ATM,96.89,59.0,53.00000000000001,6044.93,3
Debit,ATM,448.33,25.0,161.0,922.19,3
Debit,Online,8.65,48.0,273.0,10778.35,0
Debit,Online,65.57,41.0,82.0,7513.79,0
Debit,Online,539.81,46.0,177.0,2051.25,0
Debit,ATM,363.53,63.0,142.0,1038.91,3
Credit,Branch,64.9,51.0,72.0,6854.61,2
Debit,ATM,358.18,18.0,157.0,619.86,3
Debit,Branch,167.2,30.0,84.00000000000001,11320.83,1
Debit,Branch,121.91,60.0,133.0,14510.8,1
Debit,Online,137.57,54.0,70.0,5103.67,0
Debit,Online,534.62,55.0,45.0,13793.53,0
